,name,maxAgentDensity,oxygenDiffusivity,vegfDiffusivity,G1,S,G2,M,endothelialDivisionDelay,minimumVegfConcentration,baseOxygenEmissionRate,minHIF,maxHIF,ultraHypoxicThreshold,hypoxicThreshold,minPSynthesis,minimumOxygenConcentration,baseHifRate,numCancerCells,numEndothelialCells,glucoseDiffusivity,glucoseSecretionRate,minGlucoseUptakeRate,maxGlucoseUptakeRate,pWarburgSwitch,enhancedHypoxicThreshold,minGlucoseWarburg,baseOxygenMetabolicRate,minGlucoseNonWarburg,healthyTissueOxygenUptakeRate,dt,diffusionSolveIterations,envSize
1250,experiments_011019_hyp_testing_full_pws_0.2_moc_12_50,70,0.1678133274,0.0001,7,2,10,1,10,4.3877408837,40,0,16,3,20,0.3005353145,12,1,13,1,0.0007010753,190,10,19.7517509082,0.2,75,15.264297918099999,25,7.9168134596,25,4500,10,20
1251,experiments_011019_hyp_testing_full_pws_0.2_moc_12_51,70,0.3109622613,0.0001,7,2,10,1,10,5.9753519691,40,0,16,3,20,0.2679779772,12,1,14,1,0.0009693998,190,10,19.6690842471,0.2,75,16.8231208067,25,4.504751188,25,4500,10,20
1252,experiments_011019_hyp_testing_full_pws_0.2_moc_12_52,70,0.2989675233,0.0001,7,2,10,1,10,4.6495065111,40,0,16,3,20,0.6009959384,12,1,13,1,0.0011930583,190,10,18.525925918,0.2,75,12.9858941284,25,3.2125173547,25,4500,10,20
1253,experiments_011019_hyp_testing_full_pws_0.2_moc_12_53,70,0.32853386760000003,0.0001,7,2,10,1,10,5.1268766634,40,0,16,3,20,0.7649586237999999,12,1,19,1,0.0011290519,190,10,12.7224647517,0.2,75,17.6553536082,25,7.0981869167,25,4500,10,20
1254,experiments_011019_hyp_testing_full_pws_0.2_moc_12_54,70,0.18540592120000002,0.0001,7,2,10,1,10,5.8669471170000005,40,0,16,3,20,0.5107279214,12,1,11,1,0.0005898565,190,10,23.0750232034,0.2,75,15.2320188754,25,7.3805753998000005,25,4500,10,20
1255,experiments_011019_hyp_testing_full_pws_0.2_moc_12_55,70,0.3163324105,0.0001,7,2,10,1,10,5.2458686948,40,0,16,3,20,0.9157490334999999,12,1,14,1,0.0,190,10,23.4195718942,0.2,75,20.6398263334,25,5.7003670323,25,4500,10,20
1256,experiments_011019_hyp_testing_full_pws_0.2_moc_12_56,70,0.2950373248,0.0001,7,2,10,1,10,4.5043158354,40,0,16,3,20,0.3624052486,12,1,9,1,0.0012116059,190,10,13.169399151199999,0.2,75,11.927904572300001,25,0.0,25,4500,10,20
1257,experiments_011019_hyp_testing_full_pws_0.2_moc_12_57,70,0.2907832775,0.0001,7,2,10,1,10,4.083894469,40,0,16,3,20,0.6872278429,12,1,14,1,0.000649654,190,10,19.8214926739,0.2,75,13.4777735302,25,3.9250105669999997,25,4500,10,20
1258,experiments_011019_hyp_testing_full_pws_0.2_moc_12_58,70,0.4648713727,0.0001,7,2,10,1,10,4.5642533106,40,0,16,3,20,0.7135567281,12,1,14,1,0.0007790942,190,10,20.3218018102,0.2,75,11.958975146099998,25,6.499321233300001,25,4500,10,20
1259,experiments_011019_hyp_testing_full_pws_0.2_moc_12_59,70,0.2177849623,0.0001,7,2,10,1,10,4.950119156,40,0,16,3,20,0.35792591479999997,12,1,11,1,0.0008333588,190,10,15.947933248800002,0.2,75,16.6587944759,25,1.8722057618999999,25,4500,10,20
1260,experiments_011019_hyp_testing_full_pws_0.2_moc_12_60,70,0.39967729280000003,0.0001,7,2,10,1,10,4.5837852748,40,0,16,3,20,0.6968359626999999,12,1,14,1,0.0015523819000000001,190,10,25.763036513899998,0.2,75,13.329880018299999,25,5.9990415006,25,4500,10,20
1261,experiments_011019_hyp_testing_full_pws_0.2_moc_12_61,70,0.2931735638,0.0001,7,2,10,1,10,5.0927334678,40,0,16,3,20,0.541279545,12,1,16,1,0.0015063285,190,10,22.7956462844,0.2,75,19.6976257073,25,6.3163259500999995,25,4500,10,20
1262,experiments_011019_hyp_testing_full_pws_0.2_moc_12_62,70,0.3194666041,0.0001,7,2,10,1,10,6.3977980816999995,40,0,16,3,20,0.42847657969999997,12,1,17,1,0.0009648514999999999,190,10,15.934066573499999,0.2,75,13.5489456066,25,6.168809983200001,25,4500,10,20
1263,experiments_011019_hyp_testing_full_pws_0.2_moc_12_63,70,0.5510578505,0.0001,7,2,10,1,10,5.9144919951,40,0,16,3,20,0.6038248622,12,1,12,1,0.0001127135,190,10,21.0337717377,0.2,75,18.1078150602,25,5.4709927537,25,4500,10,20
1264,experiments_011019_hyp_testing_full_pws_0.2_moc_12_64,70,0.3204869918,0.0001,7,2,10,1,10,5.7666521376999995,40,0,16,3,20,0.530692176,12,1,13,1,0.0005252906,190,10,20.0212666577,0.2,75,19.7234188063,25,4.8968944514,25,4500,10,20
1265,experiments_011019_hyp_testing_full_pws_0.2_moc_12_65,70,0.4495094018,0.0001,7,2,10,1,10,5.8784018519000005,40,0,16,3,20,0.1640084007,12,1,11,1,0.0004370862,190,10,21.6394573548,0.2,75,12.8742917415,25,4.5356657792,25,4500,10,20
1266,experiments_011019_hyp_testing_full_pws_0.2_moc_12_66,70,0.23738148829999997,0.0001,7,2,10,1,10,4.9461893245,40,0,16,3,20,0.6335478661,12,1,11,1,0.0002526033,190,10,23.435056322199998,0.2,75,14.2850229873,25,6.2963355896,25,4500,10,20
1267,experiments_011019_hyp_testing_full_pws_0.2_moc_12_67,70,0.24248330329999998,0.0001,7,2,10,1,10,4.804343649700001,40,0,16,3,20,0.4292298341,12,1,11,1,0.0013396863,190,10,18.6466405472,0.2,75,18.0592586238,25,0.2011972786,25,4500,10,20
1268,experiments_011019_hyp_testing_full_pws_0.2_moc_12_68,70,0.35408686359999997,0.0001,7,2,10,1,10,6.0852099996,40,0,16,3,20,0.7978953742,12,1,11,1,0.0019751692,190,10,21.7367324598,0.2,75,13.4300536723,25,5.2782169325999995,25,4500,10,20
1269,experiments_011019_hyp_testing_full_pws_0.2_moc_12_69,70,0.4332003175,0.0001,7,2,10,1,10,5.5122456965,40,0,16,3,20,0.5584077566,12,1,14,1,0.0007186808,190,10,22.878093666599998,0.2,75,15.528352684200001,25,7.5638772388,25,4500,10,20
1270,experiments_011019_hyp_testing_full_pws_0.2_moc_12_70,70,0.34645083039999996,0.0001,7,2,10,1,10,3.1548615175,40,0,16,3,20,0.8331640034000001,12,1,14,1,0.0006616033,190,10,14.223879902,0.2,75,10.8607265001,25,8.5839605981,25,4500,10,20
