name,maxAgentDensity,oxygenDiffusivity,vegfDiffusivity,G1,S,G2,M,endothelialDivisionDelay,minimumVegfConcentration,baseOxygenEmissionRate,minHIF,maxHIF,ultraHypoxicThreshold,hypoxicThreshold,minPSynthesis,minimumOxygenConcentration,baseHifRate,numCancerCells,numEndothelialCells,glucoseDiffusivity,glucoseSecretionRate,minGlucoseUptakeRate,maxGlucoseUptakeRate,pWarburgSwitch,enhancedHypoxicThreshold,minGlucoseWarburg,baseOxygenMetabolicRate,minGlucoseNonWarburg,healthyTissueOxygenUptakeRate,dt,diffusionSolveIterations,envSize
experiments_011019_hyp_testing_full_pws_0.05_moc_12_76,70,0.3326413599,0.0001,7,2,10,1,10,5.1208657246,40,0,16,3,20,0.222985689,12,1,12,1,0.0006381163,190,10,20.7243869606,0.05,75,18.9418739069,25,3.4804271652,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_77,70,0.3603688759,0.0001,7,2,10,1,10,4.7961882888,40,0,16,3,20,0.6340759269,12,1,12,1,0.0020588469,190,10,24.923378412,0.05,75,20.6812705354,25,1.4680205583,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_78,70,0.472682332,0.0001,7,2,10,1,10,6.0856992348,40,0,16,3,20,0.2092773302,12,1,13,1,0.0013786082,190,10,15.0474052489,0.05,75,10.0425378336,25,8.7548832553,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_79,70,0.2483986581,0.0001,7,2,10,1,10,5.2385607259,40,0,16,3,20,0.4174865933,12,1,13,1,0.000629064,190,10,23.2398773473,0.05,75,17.6384764614,25,4.0833502741,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_80,70,0.2608542456,0.0001,7,2,10,1,10,5.2329630126,40,0,16,3,20,0.6093576317,12,1,15,1,0.0012246515,190,10,18.9391038452,0.05,75,11.4308959306,25,2.616070933,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_81,70,0.2256151696,0.0001,7,2,10,1,10,4.2784961144,40,0,16,3,20,0.5148270133,12,1,12,1,0.0005926819,190,10,18.7235331563,0.05,75,16.4098997662,25,2.0200628311,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_82,70,0.2802864739,0.0001,7,2,10,1,10,5.2382498729,40,0,16,3,20,0.1901124537,12,1,13,1,0.0008779341,190,10,20.4913105332,0.05,75,20.2103953773,25,7.3422082606,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_83,70,0.202984692,0.0001,7,2,10,1,10,4.5091438497,40,0,16,3,20,0.2877255852,12,1,15,1,0.0015815141,190,10,22.5291596178,0.05,75,13.6468624521,25,7.4779818161,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_84,70,0.1698146983,0.0001,7,2,10,1,10,3.0833785946,40,0,16,3,20,0.3624159489,12,1,11,1,0.0013731941,190,10,16.6916427072,0.05,75,14.2142944688,25,3.4534446039,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_85,70,0.2830515712,0.0001,7,2,10,1,10,4.6936748881,40,0,16,3,20,0.6422108789,12,1,18,1,0.0006436185,190,10,19.3218970967,0.05,75,10.8037194742,25,2.9561291462,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_86,70,0.2902357903,0.0001,7,2,10,1,10,3.8091172864,40,0,16,3,20,0.4642239994,12,1,11,1,0.0007596649,190,10,15.83578161,0.05,75,11.0906929018,25,8.2830756068,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_87,70,0.15819193,0.0001,7,2,10,1,10,3.5146999891,40,0,16,3,20,0.500326217,12,1,13,1,0.0011633408,190,10,17.7637097441,0.05,75,19.8477192635,25,2.7074345727,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_88,70,0.3295192186,0.0001,7,2,10,1,10,5.6698979504,40,0,16,3,20,0.5959588665,12,1,12,1,0.0017370667,190,10,22.0288629575,0.05,75,13.8736827141,25,6.4708947645,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_89,70,0.1610114354,0.0001,7,2,10,1,10,3.973905854,40,0,16,3,20,0.568316939,12,1,16,1,0.0005820078,190,10,18.2158896796,0.05,75,13.5167036638,25,7.4006898723,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_90,70,0.3083895883,0.0001,7,2,10,1,10,5.9086737541,40,0,16,3,20,0.7882912963,12,1,13,1,0.0020074656,190,10,18.3302678097,0.05,75,12.6506961637,25,2.466484193,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_91,70,0.3969543223,0.0001,7,2,10,1,10,4.0590204482,40,0,16,3,20,0.5704029309,12,1,12,1,0.0006665998,190,10,16.1730323476,0.05,75,17.6762851717,25,1.8454676651,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_92,70,0.2637785427,0.0001,7,2,10,1,10,3.934339475,40,0,16,3,20,0.7121537726,12,1,13,1,0.0011646084,190,10,11.1410853673,0.05,75,16.0384972657,25,2.4088491192,25,4500,10,20
